clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion_total,poblacion_de_15_anos_o_mas_analfabeta,poblacion_de_6_a_14_anos_que_no_asiste_a_la_escuela,poblacion_de_15_anos_y_mas_con_educacion_basica_incompleta,poblacion_sin_derechohabiencia_a_servicios_de_salud,viviendas_con_piso_de_tierra,viviendas_que_no_disponen_de_excusado_o_sanitario,viviendas_que_no_disponen_de_agua_entubada_de_la_red_publica,viviendas_que_no_disponen_de_drenaje,viviendas_que_no_disponen_de_energia_electrica,viviendas_que_no_disponen_de_lavadora,viviendas_que_no_disponen_de_refrigerador,indice_de_rezago_social,grado_de_rezago_social
2,Baja California,2005,Playas de Rosarito,126890,2.01793,7.745966,29.498303000000003,28.093624,2.723725,1.353788,5.006056,2.301171,0.7778229999999999,22.494954,5.6116269999999995,-0.956101,Muy bajo
2,Baja California,2006,San Quintín,117568,8.111663,5.7090510000000005,47.137132,26.498707,4.285142,0.918025,15.991497,43.726318,5.748437,41.985768,27.673208000000002,0.349481,Medio
3,Baja California Sur,3001,Comondú,73021,4.076639,3.5613040000000002,32.208889,11.714438000000001,3.134328,0.967888,1.899593,4.2469470000000005,1.610131,27.933062,7.914971,-0.811338,Muy bajo
3,Baja California Sur,3002,Mulegé,64022,4.148104,5.624630000000001,33.481125,14.980788,3.035501,1.912781,2.941941,11.476688000000001,2.3078119999999998,32.974687,15.031966,-0.568869,Bajo
3,Baja California Sur,3003,La Paz,292241,1.779959,3.317793,19.758739000000002,14.084608,2.038709,1.0534059999999998,2.3989979999999997,1.333509,1.253323,24.958807999999998,5.639403,-1.101218,Muy bajo
3,Baja California Sur,3008,Los Cabos,351111,2.115111,4.765198000000001,23.815597,19.249183,7.763458,1.332203,8.504008,1.621126,0.79873,38.085612,9.145951,-0.7587229999999999,Muy bajo
3,Baja California Sur,3009,Loreto,18052,2.207734,4.388715,25.929767000000002,13.173055999999999,4.100719000000001,1.8165470000000001,3.219424,2.9676259999999997,1.3489209999999998,26.241007,9.028777,-0.8907280000000001,Muy bajo
4,Campeche,4001,Calkiní,59232,9.238969,2.821283,31.756525,17.949757,2.356484,9.537213000000001,1.957191,12.037704,0.890227,28.650913,27.682137,-0.427612,Bajo
4,Campeche,4002,Campeche,294077,3.304942,3.201178,22.853333,19.384379,1.0636299999999999,1.291383,0.7478279999999999,1.5848790000000001,0.534163,18.383423,8.401033,-1.1446399999999999,Muy bajo
4,Campeche,4003,Carmen,248845,3.921664,6.687846,26.395463,23.146939,2.454585,2.314204,5.556868,1.360724,0.8673049999999999,17.910406,10.939997,-0.922415,Muy bajo
4,Campeche,4004,Champotón,78170,8.817042,5.908658,38.931626,24.080849,3.5409379999999997,3.764871,3.326335,8.145556,1.9127599999999998,25.672964999999998,20.508514,-0.44605900000000004,Bajo
4,Campeche,4005,Hecelchakán,31917,8.405375,10.723097000000001,30.912437,22.229533,1.556467,6.901544,2.425193,10.569498,0.880792,25.627413,23.914092999999998,-0.45331800000000005,Bajo
4,Campeche,4006,Hopelchén,42140,8.299728,19.763253,42.901458,22.55102,2.795972,10.509336,1.505524,13.520382999999999,1.749927,27.715319,32.564278,0.036244,Bajo
4,Campeche,4007,Palizada,8683,7.819260000000001,5.109489,34.177215000000004,14.177128,4.1090480000000005,2.6866849999999998,17.661004000000002,4.899249,2.6076650000000003,27.024890999999997,21.453971,-0.31218,Bajo
4,Campeche,4008,Tenabo,11452,8.773404,9.164969000000001,32.885262,18.555711,1.20915,10.816993,1.24183,15.098039000000002,1.470588,24.771242,23.75817,-0.34409,Bajo
4,Campeche,4009,Escárcega,59923,8.917517,6.987450999999999,38.722245,22.457152999999998,4.872071,4.387853,1.966762,7.071975,1.76351,30.206839000000002,21.192013,-0.37953600000000004,Bajo
4,Campeche,4010,Calakmul,31714,13.194614000000001,6.509889,39.084455,24.768241,9.794393,5.158879,21.819315,15.576324,2.517134,39.065421,35.813084,0.31707399999999997,Medio
4,Campeche,4011,Candelaria,46913,11.248113,9.343603,43.982763,32.443033,8.765842,7.332528999999999,11.330718,13.986119,7.460772,39.446288,32.264635,0.41490200000000005,Medio
4,Campeche,4012,Seybaplaya,15297,6.228883000000001,4.709987,34.471108,18.023142,0.937866,5.064478,6.424385,5.463072,0.9847600000000001,18.100821,15.474795,-0.699509,Bajo
5,Coahuila de Zaragoza,5001,Abasolo,1022,2.211302,4.310345,32.923833,42.857143,0.0,0.27624299999999996,0.5524859999999999,1.933702,0.0,13.535912,1.657459,-1.282192,Muy bajo
5,Coahuila de Zaragoza,5002,Acuña,163058,1.6781270000000001,4.973423,26.943027,19.483251,0.938738,0.510691,0.7014050000000001,1.082834,0.48102399999999995,15.829289000000001,3.566358,-1.186766,Muy bajo
5,Coahuila de Zaragoza,5003,Allende,23056,2.0781080000000003,9.231186,25.570285000000002,23.013532,0.335914,0.394333,0.204469,1.387469,0.175259,9.770702,1.971666,-1.221814,Muy bajo
5,Coahuila de Zaragoza,5004,Arteaga,29578,3.680097,4.681036,31.101703000000004,28.166204999999998,2.352805,1.437181,3.256838,2.73528,0.68382,13.004172,5.458971,-1.0496940000000001,Muy bajo
5,Coahuila de Zaragoza,5005,Candela,1643,7.419899000000001,14.436620000000001,46.121417,18.80706,0.42553199999999997,1.0638299999999998,0.8510639999999999,2.7659569999999998,0.42553199999999997,12.340425999999999,3.617021,-0.7060850000000001,Bajo
5,Coahuila de Zaragoza,5006,Castaños,29128,1.582938,5.052632,23.061611,15.843862,0.42990200000000006,0.668737,3.3197989999999997,5.684261,0.549319,15.392883,2.483879,-1.165801,Muy bajo
5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,12715,3.640589,6.641895,33.119398,20.0,1.430843,1.27186,5.670376,7.7636460000000005,2.7292,18.733439,7.074722,-0.773303,Muy bajo
5,Coahuila de Zaragoza,5008,Escobedo,3047,3.429355,5.313093,36.625514,35.674434000000005,0.330761,1.764057,4.7409040000000005,10.474089999999999,0.661521,15.104741,4.520397,-0.964528,Muy bajo
5,Coahuila de Zaragoza,5009,Francisco I. Madero,59035,2.872978,5.879917,29.85718,22.027611,1.3157889999999999,1.592798,1.750189,4.652480000000001,0.29589499999999996,19.887938000000002,4.998741000000001,-1.02787,Muy bajo
5,Coahuila de Zaragoza,5010,Frontera,82409,1.497095,5.258252,21.005809,15.890254999999998,0.36838699999999996,0.376954,0.466909,0.890983,0.23988,12.281002,2.116085,-1.300759,Muy bajo
5,Coahuila de Zaragoza,5011,General Cepeda,11898,4.665885,5.398587,32.778428999999996,19.8941,0.9717309999999999,3.386337,1.766784,3.180212,0.677267,18.93404,7.243816000000001,-0.9188299999999999,Muy bajo
5,Coahuila de Zaragoza,5012,Guerrero,1643,6.910569000000001,8.429119,39.593496,18.563603,1.7307689999999998,1.7307689999999998,2.115385,6.346154,1.538462,15.576923,3.8461540000000003,-0.736287,Muy bajo
5,Coahuila de Zaragoza,5013,Hidalgo,1735,4.816112,11.046512,36.690018,52.21902,0.6097560000000001,1.01626,2.4390240000000003,4.878049,1.2195120000000002,21.138211,5.894309,-0.89738,Muy bajo
5,Coahuila de Zaragoza,5014,Jiménez,9502,3.061076,6.42623,49.934715999999995,24.889497,1.211454,2.202643,1.615272,9.801762,1.688693,16.593245,5.61674,-0.72267,Muy bajo
5,Coahuila de Zaragoza,5015,Juárez,1584,2.8670720000000003,5.511811,41.355343,30.492424,0.824742,2.268041,1.030928,3.298969,0.824742,13.608247,1.8556700000000002,-1.0095180000000001,Muy bajo
5,Coahuila de Zaragoza,5016,Lamadrid,1764,3.106509,5.371901,34.097633,13.435374,0.0,0.542495,0.180832,2.169982,0.542495,12.296564,2.3508139999999997,-1.095539,Muy bajo
5,Coahuila de Zaragoza,5017,Matamoros,118337,3.090667,6.0794239999999995,30.129358,23.317306,1.658061,1.4656360000000002,1.058337,2.216093,0.253359,21.086559,4.701581,-1.039603,Muy bajo
5,Coahuila de Zaragoza,5018,Monclova,237951,1.182056,4.519008,18.144753,15.570012,0.45701400000000003,0.32521,0.607441,0.477071,0.24355,11.753413,1.962723,-1.3551819999999999,Muy bajo
5,Coahuila de Zaragoza,5019,Morelos,7928,1.6952080000000003,3.950426,27.313614,18.579717000000002,0.300172,0.47169799999999995,0.428816,3.602058,0.25729,7.761578,1.415094,-1.278062,Muy bajo
5,Coahuila de Zaragoza,5020,Múzquiz,71627,2.4996099999999997,5.817005,29.270574,16.824661,0.702485,1.8797540000000001,0.62497,3.1151590000000002,0.71702,12.252313000000001,4.224602,-1.0983559999999999,Muy bajo
5,Coahuila de Zaragoza,5021,Nadadores,6539,2.304893,4.9345419999999995,24.807926000000002,14.222357999999998,0.456158,1.165737,0.506842,5.7273190000000005,0.405474,15.002533999999999,2.280791,-1.16147,Muy bajo
5,Coahuila de Zaragoza,5022,Nava,33129,1.757365,6.069669,25.834112,17.139062,0.886279,0.683396,0.448478,1.398825,0.363054,9.631607,2.466631,-1.2273450000000001,Muy bajo
5,Coahuila de Zaragoza,5023,Ocampo,9642,3.8792470000000003,8.632677000000001,38.719557,17.288944,1.539617,1.8024779999999998,6.458881,7.209914,4.919264,25.159594,16.372512,-0.43041,Bajo
5,Coahuila de Zaragoza,5024,Parras,44472,3.515111,4.3829970000000005,26.112251,22.142022,1.542093,3.170732,3.351692,4.1778129999999996,0.44059799999999993,19.850510999999997,5.444532,-1.026923,Muy bajo
5,Coahuila de Zaragoza,5025,Piedras Negras,176327,1.4177629999999999,6.196574,22.591084,19.751371,0.586811,0.43381400000000003,0.387334,0.44349799999999995,0.23046399999999997,10.415416,2.457635,-1.295353,Muy bajo
5,Coahuila de Zaragoza,5026,Progreso,3239,3.351718,6.924644,42.766228000000005,19.357826,0.603622,3.018109,1.207243,8.651911,0.100604,17.505029999999998,5.231388,-0.842305,Muy bajo
5,Coahuila de Zaragoza,5027,Ramos Arizpe,122243,1.6773490000000002,4.860938,18.407655,16.330587,0.771066,0.48009799999999997,0.910731,2.010591,0.29387800000000003,16.649209,4.416899,-1.257305,Muy bajo
5,Coahuila de Zaragoza,5028,Sabinas,64811,1.620284,6.133088,23.615791,15.926309,0.569222,0.30688499999999996,0.62862,1.257239,0.23263899999999998,9.374845,2.034351,-1.270138,Muy bajo
5,Coahuila de Zaragoza,5029,Sacramento,2471,3.4103410000000003,5.511811,28.492849,25.414812,0.137931,1.37931,0.275862,3.724138,0.137931,15.172414000000002,2.068966,-1.164213,Muy bajo
5,Coahuila de Zaragoza,5030,Saltillo,879958,1.2535319999999999,4.231443,16.253014999999998,16.175998999999997,0.574483,0.575308,0.8499709999999999,0.510147,0.126609,9.868483,2.8711759999999997,-1.383355,Muy bajo
5,Coahuila de Zaragoza,5031,San Buenaventura,24759,1.486626,5.344969,20.357007,15.081385000000001,0.328127,0.525003,0.44625299999999996,1.693136,0.48562799999999995,11.038194,2.1262630000000002,-1.294073,Muy bajo
5,Coahuila de Zaragoza,5032,San Juan de Sabinas,42260,1.494726,6.356641000000001,25.054609,12.167534,0.5958289999999999,0.46596899999999997,0.427775,1.9784580000000003,0.236804,7.211061,1.7951259999999998,-1.250474,Muy bajo
5,Coahuila de Zaragoza,5033,San Pedro,101041,3.6279519999999996,4.593557,32.677807,27.188963,1.5323799999999999,1.9126509999999999,6.261295,4.393825,0.414157,21.046687,5.365211,-0.947149,Muy bajo
5,Coahuila de Zaragoza,5034,Sierra Mojada,6744,2.366364,5.975395,27.424467,12.322064,0.782881,0.991649,1.878914,1.8267220000000002,1.096033,15.918579999999999,7.254697,-1.040244,Muy bajo
5,Coahuila de Zaragoza,5035,Torreón,720848,1.2382870000000001,4.799372,18.973964000000002,21.934721,0.935658,0.401528,0.218212,0.23263499999999998,0.089797,15.044503,3.124288,-1.334731,Muy bajo
5,Coahuila de Zaragoza,5036,Viesca,20305,4.666346,7.179931,41.557281,27.830584,2.417541,4.647676000000001,10.063718,7.908546,0.505997,26.592954,7.964767999999999,-0.594478,Bajo
5,Coahuila de Zaragoza,5037,Villa Unión,6188,2.822308,4.693878,31.925943,27.504848,0.33003299999999997,1.650165,1.3201319999999999,4.015402,1.155116,13.036304,3.8503849999999997,-1.09659,Muy bajo
5,Coahuila de Zaragoza,5038,Zaragoza,13135,2.973545,5.367614,35.746032,19.550818,1.4558229999999999,1.029116,0.62751,6.902610000000001,2.51004,14.106426,4.9447790000000005,-0.907766,Muy bajo
6,Colima,6001,Armería,27626,7.142857000000001,8.260105000000001,46.299012,9.820459,5.579976,1.379731,1.7582419999999999,1.147741,0.854701,28.461538,10.31746,-0.489055,Bajo
6,Colima,6002,Colima,157048,2.3817049999999997,4.058107,23.485604000000002,17.76909,1.627666,0.660618,0.53128,0.31638,0.48153500000000005,21.390481,4.968561,-1.157756,Muy bajo
